grb-sn,sep(arcsec),gra,gdec,ghost,gz,sra,sdec,stype,shost,s
210731A-AT2021umi,0.7266541672331174,20:01:13.14,-28:03:39.4,nan,1.2525 (VLT: absorption),20:01:13.090,-28:03:39.70,Candidate,,
210619B-AT2021qlb,1.4219968930394449,21:18:52.39,33:51:00.2,nan,1.937 (OSIRIS/GTC: absorption),21:18:52.370,+33:51:01.60,Afterglow,,
210610B-AT2021qbd,0.9884147722258563,16:15:40.47,14:23:56.3,Legacy Survey; PanSTAR; and SDSS archives (See GCN 30188),1.13 (NOT: tentative)|1.1345 (GTC)|1.13 (HCT: absorption),16:15:40.402,+14:23:56.27,Candidate,,1.1345
210210A-AT2021dbj,2.1232188629491495,17:31:04.88,14:39:45.1,nan,0.715 (OSIRIS/GTC: absorption),17:31:04.990,+14:39:46.50,Candidate,,
210204A-AT2021dw,0.7352467952048168,07:48:19.37,11:24:34.2,nan,nan,07:48:19.320,+11:24:34.21,Afterglow,,
210104A-AT2021dw,1.199865373534807,06:55:05.47,64:40:33.8,nan,nan,06:55:05.300,+64:40:34.30,Afterglow,,
201223A-AT2020adna,3.132351002046685,08:51:09.61,71:10:45.3,nan,nan,08:51:09.220,+71:10:47.80,GRB,,
201024A-AT2020yfl,1.5271868251179268,08:23:48.48,03:21:13.5,nan,0.999 (GTC: absorption),08:23:48.58,+03:21:13.80,Afterglow,,
201020B-AT2020xss,2.4166790636347573,05:01:52.03,77:04:05.9,nan,nan,05:01:52.740,+77:04:06.30,Afterglow,,
201015A-AT2020wyy,1.8115270762737203,23:37:16.46,53:24:57.7,nan,0.426 (GTC: emission)|0.423 (NOT: absorption & emission),23:37:16.390,+53:24:56.00,Candidate,,
200829A-AT2020sfq,1.0520020615572188,16:44:49.42,72:19:45.2,nan,1.25 (UVOT-XRT: photometric),16:44:49.190,+72:19:45.10,Candidate,LEDA 2748946,
200826A-AT2020scz,1.9571023793780422,00:27:08.46,34:01:36.6,nan,nan,00:27:08.538,+34:01:38.30,Candidate,,
200803A-AT2020qrr,1.4656708299517445,20:44:22.35,-62:56:41.5,nan,nan,20:44:22.530,-62:56:42.30,Candidate,,
200716C-AT2020qby,0.8904830780329545,13:04:02.47,29:38:38.7,SDSS inspection reveals possible host.,nan,13:04:02.440,+29:38:39.50,Candidate,,
200612A-AT2020mjl,1.729631525024124,20:10:48.49,-45:20:07.4,nan,nan,20:10:48.640,-45:20:06.70,Candidate,,
200524A-AT2020kym,3.019294451760827,14:12:10.74,60:54:19.4,nan,nan,14:12:10.329,+60:54:19.04,Afterglow,,
200412B-AT2020har,0.8362419893957707,18:33:15.21,62:31:57.1,nan,nan,18:33:15.330,+62:31:57.00,Candidate,,
200325B-AT2020har,5.783518421254179,11:10:12.91,27:49:10.5,nan,nan,11:10:12.510,+27:49:12.80,Candidate,,
200306C-AT2020eds,1.2785795161250726,13:14:13.44,11:16:13.0,nan,nan,13:14:13.410,+11:16:11.80,Candidate,,
200205B-AT2020bwu,0.4598593227661565,07:11:09.02,-56:29:14.8,nan,1.465 (VLT: absorption and emission),07:11:09.070,-56:29:14.60,Candidate,,
